m_btransportReadEventId,m_btransportWriteEventId,time(s)
1.66667e-05,2e-05,3.66667e-05,0.000259
1.66667e-05,0,1.66667e-05,0.000262
0,0,0,0.000265
1.66667e-05,0,1.66667e-05,0.000268
0,2e-05,2e-05,0.000271
0,2e-05,2e-05,0.000274
1.66667e-05,2e-05,3.66667e-05,0.000277
0,2e-05,2e-05,0.00028
0,0,0,0.000283
1.66667e-05,2e-05,3.66667e-05,0.000286
1.66667e-05,0,1.66667e-05,0.000289
0,2e-05,2e-05,0.000292
1.66667e-05,2e-05,3.66667e-05,0.000295
0,2e-05,2e-05,0.000298
0,2e-05,2e-05,0.000301
1.66667e-05,0,1.66667e-05,0.000304
0,0,0,0.000307
1.66667e-05,2e-05,3.66667e-05,0.00031
1.66667e-05,0,1.66667e-05,0.000313
0,0,0,0.000316
0,4e-05,4e-05,0.000319
0,0,0,0.000322
0,0,0,0.000325
1.66667e-05,0,1.66667e-05,0.000328
0,0,0,0.000331
0,0,0,0.000334
0,2e-05,2e-05,0.000337
0,0,0,0.00034
0,0,0,0.000343
0,0,0,0.000346
0,0,0,0.000349
0,4e-05,4e-05,0.000352
0,2e-05,2e-05,0.000355
0,0,0,0.000358
1.66667e-05,0,1.66667e-05,0.000361
0,2e-05,2e-05,0.000364
0,0,0,0.000367
0,2e-05,2e-05,0.00037
0,0,0,0.000373
0,2e-05,2e-05,0.000376
1.66667e-05,0,1.66667e-05,0.000379
0,2e-05,2e-05,0.000382
1.66667e-05,0,1.66667e-05,0.000385
1.66667e-05,0,1.66667e-05,0.000388
1.66667e-05,0,1.66667e-05,0.000391
0,2e-05,2e-05,0.000394
1.66667e-05,0,1.66667e-05,0.000397
0,2e-05,2e-05,0.0004
3.33333e-05,0,3.33333e-05,0.000403
1.66667e-05,0,1.66667e-05,0.000406
0,2e-05,2e-05,0.000409
1.66667e-05,0,1.66667e-05,0.000412
1.66667e-05,0,1.66667e-05,0.000415
0,2e-05,2e-05,0.000418
1.66667e-05,0,1.66667e-05,0.000421
1.66667e-05,0,1.66667e-05,0.000424
1.66667e-05,0,1.66667e-05,0.000427
0,0,0,0.00043
0,2e-05,2e-05,0.000433
1.66667e-05,2e-05,3.66667e-05,0.000436
0,0,0,0.000439
0,2e-05,2e-05,0.000442
0,2e-05,2e-05,0.000445
0,0,0,0.000448
0,0,0,0.000451
1.66667e-05,0,1.66667e-05,0.000454
0,2e-05,2e-05,0.000457
0,0,0,0.00046
0,0,0,0.000463
3.33333e-05,0,3.33333e-05,0.000466
0,2e-05,2e-05,0.000469
1.66667e-05,2e-05,3.66667e-05,0.000472
0,2e-05,2e-05,0.000475
0,0,0,0.000478
0,0,0,0.000481
1.66667e-05,2e-05,3.66667e-05,0.000484
0,0,0,0.000487
0,0,0,0.00049
1.66667e-05,0,1.66667e-05,0.000493
0,0,0,0.000496
